TaoLine,Family,MemoryFileSmall,LargeMemory,LineNumber,TimesSeen,Points,SessionSeen,Chapter,T#Line
there was something formless and perfect,sumo,help,-,25-1,0.0,0.0,0.0,25,359
before the universe was born,sumo,choosy,-,25-2,0.0,0.0,0.0,25,360
it is serene empty,sumo,cheetah,-,25-3,0.0,0.0,0.0,25,361
solitary unchanging,sumo,chain,-,25-4,0.0,0.0,0.0,25,362
infinite eternally present,sumo,sham,-,25-5,0.0,0.0,0.0,25,363
it is the mother of the universe,sumo,shrew,-,25-6,0.0,0.0,0.0,25,364
for lack of a better name,sumo,chill,-,25-7,0.0,0.0,0.0,25,365
i call it the tao,sumo,Jewish,-,25-8,0.0,0.0,0.0,25,366
it flows through all things,sumo,chick,-,25-9,0.0,0.0,0.0,25,367
inside and outside and returns,sumo,achieve,-,25-10,0.0,0.0,0.0,25,368
to the origin of all things,sumo,cheap,-,25-11,0.0,0.0,0.0,25,369
the tao is great,sumo,goose,-,25-12,0.0,0.0,0.0,25,370
the universe is great,sumo,quote,-,25-13,0.0,0.0,0.0,25,371
earth is great,sumo,keen,-,25-14,0.0,0.0,0.0,25,372
man is great,sumo,game,-,25-15,0.0,0.0,0.0,25,373
these are the four great powers,sumo,carry,-,25-16,0.0,0.0,0.0,25,374
man follows the earth,sumo,cool,-,25-17,0.0,0.0,0.0,25,375
earth follows the universe,sumo,cage,-,25-18,0.0,0.0,0.0,25,376
the universe follows the tao,sumo,cook,-,25-19,0.0,0.0,0.0,25,377
the tao follows only itself,sumo,goofy,-,25-20,0.0,0.0,0.0,25,378
chapter 26,sumo,cube,-,26-0,0.0,0.0,0.0,26,379
the heavy is the root of the light,sumo,fuse,-,26-1,0.0,0.0,0.0,26,380
the unmoved is the source of all movement,sumo,fat,-,26-2,0.0,0.0,0.0,26,381
thus the master travels all day,sumo,fan,-,26-3,0.0,0.0,0.0,26,382
without leaving home,sumo,fume,-,26-4,0.0,0.0,0.0,26,383
however splendid the views,sumo,furry,-,26-5,0.0,0.0,0.0,26,384
she stays serenely in herself,sumo,fool,-,26-6,0.0,0.0,0.0,26,385
why should the lord of the country,sumo,fetch,-,26-7,0.0,0.0,0.0,26,386
flit about like a fool,sumo,foggy,-,26-8,0.0,0.0,0.0,26,387
if you let yourself be blown to and fro,sumo,fife,-,26-9,0.0,0.0,0.0,26,388
you lose touch with your root,sumo,fob,-,26-10,0.0,0.0,0.0,26,389
if you let restlessness move you,sumo,busy,-,26-11,0.0,0.0,0.0,26,390
you lose touch with who you are,sumo,bead,-,26-12,0.0,0.0,0.0,26,391
chapter 27,sumo,ban,-,27-0,0.0,0.0,0.0,27,392
a good traveler has no fixed plans,sumo,balmy,-,27-1,0.0,0.0,0.0,27,393
and is not intent upon arriving,sumo,berry,-,27-2,0.0,0.0,0.0,27,394
a good artist lets his intuition,sumo,peel,-,27-3,0.0,0.0,0.0,27,395
lead him wherever it wants,sumo,bushy,-,27-4,0.0,0.0,0.0,27,396
a good scientist has freed himself of concepts,sumo,bike,-,27-5,0.0,0.0,0.0,27,397
and keeps his mind open to what is,sumo,pave,-,27-6,0.0,0.0,0.0,27,398
thus the master is available to all people,sumo,baby,-,27-7,0.0,0.0,0.0,27,399
and doesnt reject anyone,sierra,sauce,-,27-8,0.0,0.0,0.0,27,400
he is ready to use all situations,sierra,swat,-,27-9,0.0,0.0,0.0,27,401
and doesnt waste anything,sierra,snowy,-,27-10,0.0,0.0,0.0,27,402
this is called embodying the light,sierra,sumo,-,27-11,0.0,0.0,0.0,27,403
what is a good man but a bad mans teacher,sierra,sorrow,-,27-12,0.0,0.0,0.0,27,404
what is a bad man but a good mans job,sierra,slow,-,27-13,0.0,0.0,0.0,27,405
if you dont understand this you will get lost,sierra,sewage,-,27-14,0.0,0.0,0.0,27,406
however intelligent you are,sierra,soak,-,27-15,0.0,0.0,0.0,27,407
it is the great secret,sierra,savvy,-,27-16,0.0,0.0,0.0,27,408
chapter 28,sierra,soap,-,28-0,0.0,0.0,0.0,28,409
know the male,sierra,tease,-,28-1,0.0,0.0,0.0,28,410
yet keep to the female,sierra,tight,-,28-2,0.0,0.0,0.0,28,411
receive the world in your arms,sierra,tuna,-,28-3,0.0,0.0,0.0,28,412
if you receive the world,sierra,time,-,28-4,0.0,0.0,0.0,28,413
the tao will never leave you,sierra,dry,-,28-5,0.0,0.0,0.0,28,414
and you will be like a little child,sierra,tail,-,28-6,0.0,0.0,0.0,28,415
know the white,sierra,teach,-,28-7,0.0,0.0,0.0,28,416
yet keep to the black,sierra,thick,-,28-8,0.0,0.0,0.0,28,417
be a pattern for the world,sierra,dove,-,28-9,0.0,0.0,0.0,28,418
if you are a pattern for the world,sierra,type,-,28-10,0.0,0.0,0.0,28,419
the tao will be strong inside you,sierra,noisy,-,28-11,0.0,0.0,0.0,28,420
and there will be nothing you cant do,sierra,net,-,28-12,0.0,0.0,0.0,28,421
know the personal,sierra,nanny,-,28-13,0.0,0.0,0.0,28,422
yet keep to the impersonal,sierra,numb,-,28-14,0.0,0.0,0.0,28,423
accept the world as it is,sierra,winery,-,28-15,0.0,0.0,0.0,28,424
if you accept the world,sierra,inhale,-,28-16,0.0,0.0,0.0,28,425
the tao will be luminous inside you,sierra,nudgy,-,28-17,0.0,0.0,0.0,28,426
and you will return to your primal self,sierra,neck,-,28-18,0.0,0.0,0.0,28,427
the world is formed from the void,sierra,envy,-,28-19,0.0,0.0,0.0,28,428
like utensils from a block of wood,sierra,wannabe,-,28-20,0.0,0.0,0.0,28,429
the master knows the utensils,sierra,mouse,-,28-21,0.0,0.0,0.0,28,430
yet keeps to the the block,sierra,meet,-,28-22,0.0,0.0,0.0,28,431
thus she can use all things,sierra,mean,-,28-23,0.0,0.0,0.0,28,432
chapter 29,sierra,mummy,-,29-0,0.0,0.0,0.0,29,433
do you want to improve the world,sierra,marry,-,29-1,0.0,0.0,0.0,29,434
i dont think it can be done,sierra,male,-,29-2,0.0,0.0,0.0,29,435
the world is sacred,sierra,match,-,29-3,0.0,0.0,0.0,29,436
it cant be improved,sierra,mock,-,29-4,0.0,0.0,0.0,29,437
if you tamper with it youll ruin it,sierra,mauve,-,29-5,0.0,0.0,0.0,29,438
if you treat it like an object youll lose it,sierra,map,-,29-6,0.0,0.0,0.0,29,439
there is a time for being ahead,sierra,erase,-,29-7,0.0,0.0,0.0,29,440
a time for being behind,sierra,ready,-,29-8,0.0,0.0,0.0,29,441
a time for being in motion,sierra,urine,-,29-9,0.0,0.0,0.0,29,442
a time for being at rest,sierra,ram,-,29-10,0.0,0.0,0.0,29,443
a time for being vigorous,sierra,rare,-,29-11,0.0,0.0,0.0,29,444
a time for being exhausted,sierra,railway,-,29-12,0.0,0.0,0.0,29,445
a time for being safe,sierra,reach,-,29-13,0.0,0.0,0.0,29,446
a time for being in danger,sierra,rocky,-,29-14,0.0,0.0,0.0,29,447
the master sees things as they are,sierra,roof,-,29-15,0.0,0.0,0.0,29,448
without trying to control them,sierra,wrap,-,29-16,0.0,0.0,0.0,29,449
she lets them go their own way,sierra,lazy,-,29-17,0.0,0.0,0.0,29,450
and resides at the center of the circle,sierra,lady,-,29-18,0.0,0.0,0.0,29,451
chapter 30,sierra,align,-,30-0,0.0,0.0,0.0,30,452
whoever relies on the tao in governing men,sierra,lame,-,30-1,0.0,0.0,0.0,30,453
doesnt try to force issues,sierra,lorry,-,30-2,0.0,0.0,0.0,30,454
or defeat enemies by force of arms,sierra,lull,-,30-3,0.0,0.0,0.0,30,455
for every force there is a counterforce,sierra,yellowish,-,30-4,0.0,0.0,0.0,30,456
violence even well intentioned,sierra,leg,-,30-5,0.0,0.0,0.0,30,457
always rebounds upon oneself,sierra,love,-,30-6,0.0,0.0,0.0,30,458
the master does his job,sierra,loopy,-,30-7,0.0,0.0,0.0,30,459
and then stops,sierra,cheese,-,30-8,0.0,0.0,0.0,30,460
he understands that the universe,sierra,cheat,-,30-9,0.0,0.0,0.0,30,461
is forever out of control,sierra,shiny,-,30-10,0.0,0.0,0.0,30,462
and that trying to dominate events,sierra,gem,-,30-11,0.0,0.0,0.0,30,463
goes against the current of the tao,sierra,jury,-,30-12,0.0,0.0,0.0,30,464
because he believes in himself,sierra,jolly,-,30-13,0.0,0.0,0.0,30,465
he doesnt try to convince others,sierra,cha-cha,-,30-14,0.0,0.0,0.0,30,466
because he is content with himself,sierra,check,-,30-15,0.0,0.0,0.0,30,467
he doesnt need others approval,sierra,chief,-,30-16,0.0,0.0,0.0,30,468
because he accepts himself,sierra,jeep,-,30-17,0.0,0.0,0.0,30,469
the whole world accepts him,sierra,kiss,-,30-18,0.0,0.0,0.0,30,470
chapter 31,sierra,good,-,31-0,0.0,0.0,0.0,31,471
weapons are the tools of violence,sierra,coin,-,31-1,0.0,0.0,0.0,31,472
all decent men detest them,sierra,comb,-,31-2,0.0,0.0,0.0,31,473
weapons are the tools of fear,sierra,grey,-,31-3,0.0,0.0,0.0,31,474
a decent man will avoid them,sierra,clay,-,31-4,0.0,0.0,0.0,31,475
except in the direst necessity,sierra,coach,-,31-5,0.0,0.0,0.0,31,476
and if compelled will use them,sierra,quick,-,31-6,0.0,0.0,0.0,31,477
only with the utmost restraint,sierra,cave,-,31-7,0.0,0.0,0.0,31,478
peace is his highest value,sierra,copy,-,31-8,0.0,0.0,0.0,31,479
if the peace has been shattered,sierra,fussy,-,31-9,0.0,0.0,0.0,31,480
how can he be content,sierra,video,-,31-10,0.0,0.0,0.0,31,481
his enemies are not demons,sierra,fine,-,31-11,0.0,0.0,0.0,31,482
but human beings like himself,sierra,foamy,-,31-12,0.0,0.0,0.0,31,483
he doesnt wish them personal harm,sierra,fairy,-,31-13,0.0,0.0,0.0,31,484
nor does he rejoice in victory,sierra,fly,-,31-14,0.0,0.0,0.0,31,485
how could he rejoice in victory,sierra,fishy,-,31-15,0.0,0.0,0.0,31,486
and delight in the slaughter of men,sierra,fig,-,31-16,0.0,0.0,0.0,31,487
he enters a battle gravely,sierra,viva,-,31-17,0.0,0.0,0.0,31,488
with sorrow and with great compassion,sierra,fab,-,31-18,0.0,0.0,0.0,31,489
as if he were attending a funeral,sierra,boss,-,31-19,0.0,0.0,0.0,31,490
chapter 32,sierra,bite,-,32-0,0.0,0.0,0.0,32,491
the tao cant be perceived,sierra,bony,-,32-1,0.0,0.0,0.0,32,492
smaller than an electron,sierra,puma,-,32-2,0.0,0.0,0.0,32,493
it contains uncountable galaxies,sierra,bury,-,32-3,0.0,0.0,0.0,32,494
if powerful men and women,sierra,blue,-,32-4,0.0,0.0,0.0,32,495
could remain centered in the tao,sierra,pouch,-,32-5,0.0,0.0,0.0,32,496
all things would be in harmony,sierra,poke,-,32-6,0.0,0.0,0.0,32,497
the world would become a paradise,sierra,puffy,-,32-7,0.0,0.0,0.0,32,498
all people would be at peace,sierra,pipe,-,32-8,0.0,0.0,0.0,32,499
and the law would be written in their hearts,soil,assess,-,32-9,0.0,0.0,0.0,32,500
when you have names and forms,soil,sad,-,32-10,0.0,0.0,0.0,32,501
know that they are provisional,soil,sun,-,32-11,0.0,0.0,0.0,32,502
when you have institutions,soil,assume,-,32-12,0.0,0.0,0.0,32,503
know where their functions should end,soil,sorry,-,32-13,0.0,0.0,0.0,32,504
knowing when to stop,soil,soil,-,32-14,0.0,0.0,0.0,32,505
you can avoid any danger,soil,switch,-,32-15,0.0,0.0,0.0,32,506
all things end in the tao,soil,sick,-,32-16,0.0,0.0,0.0,32,507
as rivers flow into the sea,soil,sofa,-,32-17,0.0,0.0,0.0,32,508
chapter 33,soil,sob,-,33-0,0.0,0.0,0.0,33,509
knowing others is intelligence,soil,dizzy,-,33-1,0.0,0.0,0.0,33,510
knowing yourself is true wisdom,soil,tattoo,-,33-2,0.0,0.0,0.0,33,511
mastering others is strength,soil,widen,-,33-3,0.0,0.0,0.0,33,512
mastering yourself is true power,soil,tame,-,33-4,0.0,0.0,0.0,33,513
if you realize that you have enough,soil,diary,-,33-5,0.0,0.0,0.0,33,514
you are truly rich,soil,tell,-,33-6,0.0,0.0,0.0,33,515
if you stay in the center,soil,whitish,-,33-7,0.0,0.0,0.0,33,516
and embrace death with your whole heart,soil,dog,-,33-8,0.0,0.0,0.0,33,517
you will endure forever,soil,defy,-,33-9,0.0,0.0,0.0,33,518
chapter 34,soil,deep,-,34-0,0.0,0.0,0.0,34,519
the great tao flows everywhere,soil,nose,-,34-1,0.0,0.0,0.0,34,520
all things are born from it,soil,unite,-,34-2,0.0,0.0,0.0,34,521
yet it doesnt create them,soil,neon,-,34-3,0.0,0.0,0.0,34,522
it pours itself into its work,soil,enemy,-,34-4,0.0,0.0,0.0,34,523
yet it makes no claim,soil,honour,-,34-5,0.0,0.0,0.0,34,524
it nourishes infinite worlds,soil,annual,-,34-6,0.0,0.0,0.0,34,525
yet it doesnt hold on to them,soil,nacho,-,34-7,0.0,0.0,0.0,34,526
since it is merged with all things,soil,knock,-,34-8,0.0,0.0,0.0,34,527
and hidden in their hearts,soil,naïve,-,34-9,0.0,0.0,0.0,34,528
it can be called humble,soil,honeybee,-,34-10,0.0,0.0,0.0,34,529
since all things vanish into it,soil,amuse,-,34-11,0.0,0.0,0.0,34,530
and it alone endures,soil,mute,-,34-12,0.0,0.0,0.0,34,531
it can be called great,soil,moon,-,34-13,0.0,0.0,0.0,34,532
it isnt aware of its greatness,soil,mime,-,34-14,0.0,0.0,0.0,34,533
thus it is truly great,soil,merry,-,34-15,0.0,0.0,0.0,34,534
chapter 35,soil,mole,-,35-0,0.0,0.0,0.0,35,535
she who is centered in the tao,soil,mash,-,35-1,0.0,0.0,0.0,35,536
can go where she wishes without danger,soil,mucky,-,35-2,0.0,0.0,0.0,35,537
she perceives the universal harmony,soil,movie,-,35-3,0.0,0.0,0.0,35,538
even amid great pain,soil,mop,-,35-4,0.0,0.0,0.0,35,539
because she has found peace in her heart,soil,rosy,-,35-5,0.0,0.0,0.0,35,540
music or the smell of good cooking,soil,road,-,35-6,0.0,0.0,0.0,35,541
may make people stop and enjoy,soil,ruin,-,35-7,0.0,0.0,0.0,35,542
but words that point to the tao,soil,haram,-,35-8,0.0,0.0,0.0,35,543
seem monotonous and without flavor,soil,aurora,-,35-9,0.0,0.0,0.0,35,544
when you look for it there is nothing to see,soil,rule,-,35-10,0.0,0.0,0.0,35,545
when you listen for it there is nothing to hear,soil,rich,-,35-11,0.0,0.0,0.0,35,546
when you use it it is inexhaustible,soil,rag,-,35-12,0.0,0.0,0.0,35,547
chapter 36,soil,arrive,-,36-0,0.0,0.0,0.0,36,548
if you want to shrink something,soil,ripe,-,36-1,0.0,0.0,0.0,36,549
you must first allow it to expand,soil,louse,-,36-2,0.0,0.0,0.0,36,550
if you want to get rid of something,soil,let,-,36-3,0.0,0.0,0.0,36,551
you must first allow it to flourish,soil,alien,-,36-4,0.0,0.0,0.0,36,552
if you want to take something,soil,lime,-,36-5,0.0,0.0,0.0,36,553
you must first allow it to be given,soil,lure,-,36-6,0.0,0.0,0.0,36,554
this is called the subtle perception,soil,loyal,-,36-7,0.0,0.0,0.0,36,555
of the way things are,soil,leech,-,36-8,0.0,0.0,0.0,36,556
the soft overcomes the hard,soil,lick,-,36-9,0.0,0.0,0.0,36,557
the slow overcomes the fast,soil,leafy,-,36-10,0.0,0.0,0.0,36,558
let your workings remain a mystery,soil,lip,-,36-11,0.0,0.0,0.0,36,559
just show people the results,soil,chase,-,36-12,0.0,0.0,0.0,36,560
chapter 37,soil,chatty,-,37-0,0.0,0.0,0.0,37,561
the tao never does anything,soil,chin,-,37-1,0.0,0.0,0.0,37,562
yet through it all things are done,soil,jam,-,37-2,0.0,0.0,0.0,37,563
if powerful men and women,soil,cherry,-,37-3,0.0,0.0,0.0,37,564
could venter themselves in it,soil,chilli,-,37-4,0.0,0.0,0.0,37,565
the whole world would be transformed,soil,judge,-,37-5,0.0,0.0,0.0,37,566
by itself in its natural rhythms,soil,shaky,-,37-6,0.0,0.0,0.0,37,567
people would be content,soil,chef,-,37-7,0.0,0.0,0.0,37,568
with their simple everyday lives,soil,chop,-,37-8,0.0,0.0,0.0,37,569
in harmony and free of desire,soil,cosy,-,37-9,0.0,0.0,0.0,37,570
when there is no desire,soil,cat,-,37-10,0.0,0.0,0.0,37,571
all things are at peace,soil,weaken,-,37-11,0.0,0.0,0.0,37,572
chapter 38,soil,gummy,-,38-0,0.0,0.0,0.0,38,573
the master doesnt try to be powerful,soil,crow,-,38-1,0.0,0.0,0.0,38,574
thus he is truly powerful,soil,kill,-,38-2,0.0,0.0,0.0,38,575
the ordinary man keeps reaching for power,soil,catchy,-,38-3,0.0,0.0,0.0,38,576
thus he never has enough,soil,cake,-,38-4,0.0,0.0,0.0,38,577
the master does nothing,soil,give,-,38-5,0.0,0.0,0.0,38,578
yet he leaves nothing undone,soil,agape,-,38-6,0.0,0.0,0.0,38,579
the ordinary man is always doing things,soil,vase,-,38-7,0.0,0.0,0.0,38,580
yet many more are left to be done,soil,fight,-,38-8,0.0,0.0,0.0,38,581
the kind man does something,soil,funny,-,38-9,0.0,0.0,0.0,38,582
yet something remains undone,soil,ovum,-,38-10,0.0,0.0,0.0,38,583
the just man does something,soil,fry,-,38-11,0.0,0.0,0.0,38,584
and leaves many things to be done,soil,foul,-,38-12,0.0,0.0,0.0,38,585
the moral man does something,soil,veggie,-,38-13,0.0,0.0,0.0,38,586
and when no one responds,soil,fake,-,38-14,0.0,0.0,0.0,38,587
he rolls up his sleeves and uses force,soil,fave,-,38-15,0.0,0.0,0.0,38,588
when the tao is lost there is goodness,soil,vibe,-,38-16,0.0,0.0,0.0,38,589
when goodness is lost there is morality,soil,oppose,-,38-17,0.0,0.0,0.0,38,590
when morality is lost there is ritual,soil,bad,-,38-18,0.0,0.0,0.0,38,591
ritual is the husk of true faith,soil,pony,-,38-19,0.0,0.0,0.0,38,592
the beginning of chaos,soil,bomb,-,38-20,0.0,0.0,0.0,38,593
therefore the master concerns himself,soil,pro,-,38-21,0.0,0.0,0.0,38,594
with the depths and not the surface,soil,bell,-,38-22,0.0,0.0,0.0,38,595
with the fruit and not the flower,soil,patch,-,38-23,0.0,0.0,0.0,38,596
he has no will of his own,soil,back,-,38-24,0.0,0.0,0.0,38,597
he dwells in reality,soil,beef,-,38-25,0.0,0.0,0.0,38,598
and lets all illusions go,soil,pop,-,38-26,0.0,0.0,0.0,38,599
chapter 39,sewage,sassy,-,39-0,0.0,0.0,0.0,39,600
in harmony with the tao,sewage,seed,-,39-1,0.0,0.0,0.0,39,601
the sky is clear and spacious,sewage,assign,-,39-2,0.0,0.0,0.0,39,602
the earth is solid and full,sewage,awesome,-,39-3,0.0,0.0,0.0,39,603
all creature flourish together,sewage,sierra,-,39-4,0.0,0.0,0.0,39,604
content with the way they are,sewage,sell,-,39-5,0.0,0.0,0.0,39,605
endlessly repeating themselves,sewage,swishy,-,39-6,0.0,0.0,0.0,39,606
endlessly renewed,sewage,sky,-,39-7,0.0,0.0,0.0,39,607
when man interferes with the tao,sewage,save,-,39-8,0.0,0.0,0.0,39,608
the sky becomes filthy,sewage,sappy,-,39-9,0.0,0.0,0.0,39,609
the earth becomes depleted,sewage,daisy,-,39-10,0.0,0.0,0.0,39,610
the equilibrium crumbles,sewage,edit,-,39-11,0.0,0.0,0.0,39,611
creatures become extinct,sewage,wooden,-,39-12,0.0,0.0,0.0,39,612
the master views the parts with compassion,sewage,dome,-,39-13,0.0,0.0,0.0,39,613
because he understands the whole,sewage,draw,-,39-14,0.0,0.0,0.0,39,614
his constant practice is humility,sewage,tall,-,39-15,0.0,0.0,0.0,39,615
he doesnt glitter like a jewel,sewage,dish,-,39-16,0.0,0.0,0.0,39,616
but lets himself be shaped by the tao,sewage,take,-,39-17,0.0,0.0,0.0,39,617
as rugged and common as stone,sewage,deaf,-,39-18,0.0,0.0,0.0,39,618
chapter 40,sewage,tuba,-,40-0,0.0,0.0,0.0,40,619
return is the movement of the tao,sewage,ionize,-,40-1,0.0,0.0,0.0,40,620
yielding is the way of the tao,sewage,neat,-,40-2,0.0,0.0,0.0,40,621
all things are born of being,sewage,onion,-,40-3,0.0,0.0,0.0,40,622
being is born of non being,sewage,name,-,40-4,0.0,0.0,0.0,40,623
chapter 41,sewage,narrow,-,41-0,0.0,0.0,0.0,41,624
when a superior man hears of the tao,sewage,nail,-,41-1,0.0,0.0,0.0,41,625
he immediately begins to embody it,sewage,enjoy,-,41-2,0.0,0.0,0.0,41,626
when an average man hears of the tao,sewage,naggy,-,41-3,0.0,0.0,0.0,41,627
he half believes it half doubts it,sewage,knife,-,41-4,0.0,0.0,0.0,41,628
when a foolish man hears of the tao,sewage,nab,-,41-5,0.0,0.0,0.0,41,629
he laughs out loud,sewage,messy,-,41-6,0.0,0.0,0.0,41,630
if he didnt laugh,sewage,meadow,-,41-7,0.0,0.0,0.0,41,631
it wouldnt be the tao,sewage,mine,-,41-8,0.0,0.0,0.0,41,632
thus it is said,sewage,mum,-,41-9,0.0,0.0,0.0,41,633
the path into the light seems dark,sewage,emery,-,41-10,0.0,0.0,0.0,41,634
the path forward seems to go back,sewage,mail,-,41-11,0.0,0.0,0.0,41,635
the direct path seems long,sewage,mushy,-,41-12,0.0,0.0,0.0,41,636
true power seems weak,sewage,mug,-,41-13,0.0,0.0,0.0,41,637
true purity seems tarnished,sewage,move,-,41-14,0.0,0.0,0.0,41,638
true steadfastness seems changeable,sewage,wimpy,-,41-15,0.0,0.0,0.0,41,639
true clarity seems obscure,sewage,rice,-,41-16,0.0,0.0,0.0,41,640
the greatest are seems unsophisticated,sewage,read,-,41-17,0.0,0.0,0.0,41,641
the greatest love seems indifferent,sewage,runny,-,41-18,0.0,0.0,0.0,41,642
the greatest wisdom seems childish,sewage,rum,-,41-19,0.0,0.0,0.0,41,643
the tao is nowhere to be found,sewage,rear,-,41-20,0.0,0.0,0.0,41,644
yet it nourishes and completes all things,sewage,royal,-,41-21,0.0,0.0,0.0,41,645
chapter 42,sewage,roach,-,42-0,0.0,0.0,0.0,42,646
the tao gives birth to one,sewage,rake,-,42-1,0.0,0.0,0.0,42,647
one gives birth to two,sewage,rough,-,42-2,0.0,0.0,0.0,42,648
two gives birth to three,sewage,rope,-,42-3,0.0,0.0,0.0,42,649
three gives birth to all things,sewage,lose,-,42-4,0.0,0.0,0.0,42,650
all things have their backs to the female,sewage,elite,-,42-5,0.0,0.0,0.0,42,651
and stand facing the male,sewage,lion,-,42-6,0.0,0.0,0.0,42,652
when male and female combine,sewage,loom,-,42-7,0.0,0.0,0.0,42,653
all things achieve harmony,sewage,leery,-,42-8,0.0,0.0,0.0,42,654
ordinary men hate solitude,sewage,lily,-,42-9,0.0,0.0,0.0,42,655
but the master makes use of it,sewage,latch,-,42-10,0.0,0.0,0.0,42,656
embracing his aloneness realizing,sewage,lucky,-,42-11,0.0,0.0,0.0,42,657
he is one with the whole universe,sewage,lava,-,42-12,0.0,0.0,0.0,42,658
chapter 43,sewage,help,-,43-0,0.0,0.0,0.0,43,659
the gentlest thing in the world,sewage,choosy,-,43-1,0.0,0.0,0.0,43,660
overcomes the hardest thing in the world,sewage,cheetah,-,43-2,0.0,0.0,0.0,43,661
that which has no substance,sewage,chain,-,43-3,0.0,0.0,0.0,43,662
enters where there is no space,sewage,sham,-,43-4,0.0,0.0,0.0,43,663
this shows the value of non action,sewage,shrew,-,43-5,0.0,0.0,0.0,43,664
teaching without words,sewage,chill,-,43-6,0.0,0.0,0.0,43,665
performing without actions,sewage,Jewish,-,43-7,0.0,0.0,0.0,43,666
that is the masters way,sewage,chick,-,43-8,0.0,0.0,0.0,43,667
chapter 44,sewage,achieve,-,44-0,0.0,0.0,0.0,44,668
fame or integrity which is more important,sewage,cheap,-,44-1,0.0,0.0,0.0,44,669
money or happiness which is more valuable,sewage,goose,-,44-2,0.0,0.0,0.0,44,670
success of failure which is more destructive,sewage,quote,-,44-3,0.0,0.0,0.0,44,671
if you look to others for fulfillment,sewage,keen,-,44-4,0.0,0.0,0.0,44,672
you will never truly be fulfilled,sewage,game,-,44-5,0.0,0.0,0.0,44,673
if your happiness depends on money,sewage,carry,-,44-6,0.0,0.0,0.0,44,674
you will never be happy with yourself,sewage,cool,-,44-7,0.0,0.0,0.0,44,675
be content with what you have,sewage,cage,-,44-8,0.0,0.0,0.0,44,676
rejoice in the way things are,sewage,cook,-,44-9,0.0,0.0,0.0,44,677
when you realize there is nothing lacking,sewage,goofy,-,44-10,0.0,0.0,0.0,44,678
the whole world belongs to you,sewage,cube,-,44-11,0.0,0.0,0.0,44,679
chapter 45,sewage,fuse,-,45-0,0.0,0.0,0.0,45,680
true perfection seems imperfect,sewage,fat,-,45-1,0.0,0.0,0.0,45,681
yet it is perfectly itself,sewage,fan,-,45-2,0.0,0.0,0.0,45,682
true fullness seems empty,sewage,fume,-,45-3,0.0,0.0,0.0,45,683
yet it is fully present,sewage,furry,-,45-4,0.0,0.0,0.0,45,684
true straightness seems crooked,sewage,fool,-,45-5,0.0,0.0,0.0,45,685
true wisdom seems foolish,sewage,fetch,-,45-6,0.0,0.0,0.0,45,686
true art seems artless,sewage,foggy,-,45-7,0.0,0.0,0.0,45,687
the master allows things to happen,sewage,fife,-,45-8,0.0,0.0,0.0,45,688
she shapes events as they come,sewage,fob,-,45-9,0.0,0.0,0.0,45,689
she steps out of the way,sewage,busy,-,45-10,0.0,0.0,0.0,45,690
and lets the tao speak for itself,sewage,bead,-,45-11,0.0,0.0,0.0,45,691
chapter 46,sewage,ban,-,46-0,0.0,0.0,0.0,46,692
when a country is in harmony with the tao,sewage,balmy,-,46-1,0.0,0.0,0.0,46,693
the factories make trucks and tractors,sewage,berry,-,46-2,0.0,0.0,0.0,46,694
when a country goes counter to the tao,sewage,peel,-,46-3,0.0,0.0,0.0,46,695
warheads are stockpiled outside the cities,sewage,bushy,-,46-4,0.0,0.0,0.0,46,696
there is no greater illusion than fear,sewage,bike,-,46-5,0.0,0.0,0.0,46,697
no greater wrong than preparing to defend yourself,sewage,pave,-,46-6,0.0,0.0,0.0,46,698
no greater misfortune than having an enemy,sewage,baby,-,46-7,0.0,0.0,0.0,46,699
whoever can see through all fear,sky,sauce,-,46-8,0.0,0.0,0.0,46,700
will always be safe,sky,swat,-,46-9,0.0,0.0,0.0,46,701
chapter 47,sky,snowy,-,47-0,0.0,0.0,0.0,47,702
without opening your door,sky,sumo,-,47-1,0.0,0.0,0.0,47,703
you can open your heart to the world,sky,sorrow,-,47-2,0.0,0.0,0.0,47,704
without looking out your window,sky,slow,-,47-3,0.0,0.0,0.0,47,705
you can see the essence of the tao,sky,sewage,-,47-4,0.0,0.0,0.0,47,706
the more you know,sky,soak,-,47-5,0.0,0.0,0.0,47,707
the less you understand,sky,savvy,-,47-6,0.0,0.0,0.0,47,708
the master arrives without leaving,sky,soap,-,47-7,0.0,0.0,0.0,47,709
sees the light without looking,sky,tease,-,47-8,0.0,0.0,0.0,47,710
achieves without doing a thing,sky,tight,-,47-9,0.0,0.0,0.0,47,711
chapter 48,sky,tuna,-,48-0,0.0,0.0,0.0,48,712
in pursuit of knowledge,sky,time,-,48-1,0.0,0.0,0.0,48,713
every day something is added,sky,dry,-,48-2,0.0,0.0,0.0,48,714
in the practice of the tao,sky,tail,-,48-3,0.0,0.0,0.0,48,715
every day something is dropped,sky,teach,-,48-4,0.0,0.0,0.0,48,716
less and less do you need to force things,sky,thick,-,48-5,0.0,0.0,0.0,48,717
until finally you arrive at non action,sky,dove,-,48-6,0.0,0.0,0.0,48,718
when nothing is done,sky,type,-,48-7,0.0,0.0,0.0,48,719
nothing is left undone,sky,noisy,-,48-8,0.0,0.0,0.0,48,720
true mastery can be gained,sky,net,-,48-9,0.0,0.0,0.0,48,721
by letting things go their own way,sky,nanny,-,48-10,0.0,0.0,0.0,48,722
